names	celltype
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_268	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_268	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_268	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_268	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_268	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_268	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_268	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_268	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_268	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_268	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_268	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_368	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_368	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_368	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_368	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_368	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_368	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_368	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_368	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_368	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_368	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_368	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_368	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_312	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_312	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_312	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_312	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_312	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_312	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_312	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_312	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_312	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_312	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_312	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_312	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_302	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_302	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_302	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_302	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_302	Spinal_cord
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_302	13
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_302	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_302	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_302	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_302	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_302	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_302	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_147	Neural
