index,pseudotime,pseudotime2
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_341,56.60198,51.21979
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_310,30.236847,14.116035
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_302,30.302296,13.39026
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_5,29.653845,13.194938
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_184,29.446068,13.111973
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_186,32.44913,18.001057
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_44,41.12779,30.42976
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_74,34.104935,19.615776
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_375,33.291977,18.178888
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_372,30.430061,13.968123
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_345,29.317656,12.777673
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_64,32.900944,17.921352
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_312,34.07383,19.478699
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_205,19.679937,11.402302
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_34,26.785284,10.8615265
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_206,30.139473,13.988378
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_368,31.228184,15.243438
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_284,33.006935,17.902523
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_41,32.82412,17.429539
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_335,33.997845,19.556581
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_374,28.70619,12.233329
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_298,38.80661,27.258057
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_147,28.947964,12.724583
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_135,29.597122,13.141431
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_299,32.971077,18.252342
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_12,29.632885,13.040559
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_269,31.949001,16.410671
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_134,10.892524,18.354317
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_71,35.057793,20.531078
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_47,29.407608,12.915039
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_2,33.521626,18.897373
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_33,29.676178,13.005322
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_101,30.307966,14.031291
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_318,34.156162,19.643335
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_151,33.281578,18.400206
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_149,31.270447,15.778771
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_240,22.548769,9.788644
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_351,30.401876,14.333622
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_46,29.81766,13.483895
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_333,39.724987,28.035746
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_37,33.42081,18.640417
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_120,29.672783,13.239591
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_24,29.248714,12.841301
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_94,29.378431,5.168702
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_204,34.806744,20.342432
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_156,31.33139,15.648673
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_279,27.844343,12.017263
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_15,32.56458,17.53773
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_54,32.289234,16.71784
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_203,31.700325,16.145342
