,QC,enrichment,coverage
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_362,good,79.44915254237289,24.354
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_288,good,76.85827552031716,23.834
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_225,good,80.5781391147245,30.122
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_263,good,82.52840909090908,31.006
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_303,good,89.65517241379311,34.226
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_134,good,81.91235059760956,26.028
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_34,good,86.69328010645376,30.046
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_228,good,81.9478402607987,31.164
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_299,good,82.71692745376956,27.552
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_33,good,83.99262487428764,33.01
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_262,good,88.32720588235293,28.5
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_173,good,87.44993324432575,33.286
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_360,good,89.90318118948822,32.986
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_44,good,83.68580060422958,27.942
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_374,good,87.08487084870849,25.790000000000003
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_94,good,85.79617834394905,29.044
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_29,good,85.72184029613962,31.636
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_298,good,84.99210110584518,25.53
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_166,good,90.38238702201625,32.772
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_310,good,87.70949720670392,24.736
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_37,good,76.0262725779967,23.902
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_345,good,86.18346545866363,23.462
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_6,good,90.563086548488,30.842
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_300,good,87.34643734643736,26.942
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_180,bad,51.8674381904261,23.94
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_383,good,93.5483870967742,31.094
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_83,good,90.18181818181816,30.198000000000004
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_349,good,85.9171597633136,24.872
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_74,good,90.26763990267638,27.268
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_76,bad,56.85190573174279,25.678
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_56,good,73.45794392523365,26.102
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_335,good,84.28453267162944,29.836
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_350,bad,54.18085508891412,24.946
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_47,good,94.6291560102302,29.69
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_46,good,81.45363408521304,25.116
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_346,good,83.52490421455937,23.652
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_370,good,85.64102564102566,30.506
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_351,good,84.40860215053763,29.328
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_186,good,82.12201591511938,29.07
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_240,good,86.45383951682484,28.026
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_66,good,84.70012239902081,29.998
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_141,good,67.43782533256217,29.2
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_284,good,74.84197218710493,24.482
