names	celltype
PZ-MB-gastd5-TCHIC-rep1-H3K27ac-1_156	10
PZ-MB-gastd5-TCHIC-rep1-H3K4me1-1_156	Mesoderm_heart
PZ-MB-gastd5-TCHIC-rep1-H3K4me3-4_156	2
PZ-MB-gastd5-TCHIC-rep1-H3K27me3-1_156	Endoderm_node
PZ-MB-gastd6-TCHIC-rep1-H3K27me3-1_156	Somite_wavefront
PZ-MB-gastd7-TCHIC-rep1-H3K27me3-4_156	9
PZ-MB-gastd5-TChIC-rep1-H3K27me3-2_156	Endoderm_node
PZ-MB-gastd5-TChIC-rep1-H3K27me3-3_156	12
PZ-MB-gastd5-TChIC-rep1-H3K27me3-4_156	2
PZ-MB-gastd6-TChIC-rep1-H3K27me3-2_156	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K27me3-3_156	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K27me3-4_156	3
PZ-MB-gastd7-TChIC-rep1-H3K27me3-1_156	18
PZ-MB-gastd7-TChIC-rep1-H3K27me3-2_156	Somite_wavefront
PZ-MB-gastd7-TChIC-rep1-H3K27me3-3_156	10
PZ-MB-gastd5-TChIC-rep1-H3K4me3-2_156	2
PZ-MB-gastd5-TChIC-rep1-H3K4me3-3_156	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K4me3-1_156	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K4me3-2_156	Neural_tube_2
PZ-MB-gastd6-TChIC-rep1-H3K4me3-3_156	3
PZ-MB-gastd6-TChIC-rep1-H3K4me3-4_156	2
PZ-MB-gastd7-TChIC-rep1-H3K4me3-1_156	3
PZ-MB-gastd7-TChIC-rep1-H3K4me3-2_156	18
PZ-MB-gastd7-TChIC-rep1-H3K4me3-3_156	NeuralTube_Somites
PZ-MB-gastd5-TCHIC-rep1-H3K27ac-1_125	Mesoderm_heart
PZ-MB-gastd5-TCHIC-rep1-H3K4me1-1_125	Mesoderm_heart
PZ-MB-gastd5-TCHIC-rep1-H3K4me3-4_125	12
PZ-MB-gastd5-TCHIC-rep1-H3K27me3-1_125	12
PZ-MB-gastd6-TCHIC-rep1-H3K27me3-1_125	3
PZ-MB-gastd5-TChIC-rep1-H3K27me3-2_125	0
PZ-MB-gastd5-TChIC-rep1-H3K27me3-3_125	0
PZ-MB-gastd6-TChIC-rep1-H3K27me3-2_125	9
PZ-MB-gastd6-TChIC-rep1-H3K27me3-3_125	NeuralTube_Somites
PZ-MB-gastd6-TChIC-rep1-H3K27me3-4_125	9
PZ-MB-gastd7-TChIC-rep1-H3K27me3-1_125	18
PZ-MB-gastd7-TChIC-rep1-H3K27me3-2_125	NeuralTube1
PZ-MB-gastd7-TChIC-rep1-H3K27me3-3_125	9
PZ-MB-gastd5-TChIC-rep1-H3K4me3-3_125	0
PZ-MB-gastd6-TChIC-rep1-H3K4me3-1_125	0
PZ-MB-gastd6-TChIC-rep1-H3K4me3-2_125	3
PZ-MB-gastd6-TChIC-rep1-H3K4me3-3_125	Neural_tube_2
PZ-MB-gastd7-TChIC-rep1-H3K4me3-1_125	NeuralTube_Somites
PZ-MB-gastd7-TChIC-rep1-H3K4me3-2_125	3
PZ-MB-gastd7-TChIC-rep1-H3K4me3-3_125	NeuralTube1
PZ-MB-gastd7-TChIC-rep1-H3K4me3-4_125	NeuralTube_Somites
PZ-MB-gastd5-TCHIC-rep1-H3K27ac-1_56	10
PZ-MB-gastd5-TCHIC-rep1-H3K4me1-1_56	12
PZ-MB-gastd5-TCHIC-rep1-H3K4me3-4_56	12
PZ-MB-gastd5-TCHIC-rep1-H3K27me3-1_56	Endoderm_node
PZ-MB-gastd6-TCHIC-rep1-H3K27me3-1_56	9
PZ-MB-gastd7-TCHIC-rep1-H3K27me3-4_56	3
PZ-MB-gastd5-TChIC-rep1-H3K27me3-2_56	2
PZ-MB-gastd5-TChIC-rep1-H3K27me3-3_56	Tailbud
PZ-MB-gastd5-TChIC-rep1-H3K27me3-4_56	2
PZ-MB-gastd6-TChIC-rep1-H3K27me3-2_56	Haemogenic
PZ-MB-gastd6-TChIC-rep1-H3K27me3-3_56	3
PZ-MB-gastd6-TChIC-rep1-H3K27me3-4_56	Somite_wavefront
PZ-MB-gastd7-TChIC-rep1-H3K27me3-1_56	Somite_wavefront
PZ-MB-gastd7-TChIC-rep1-H3K27me3-3_56	3
PZ-MB-gastd5-TChIC-rep1-H3K4me3-2_56	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K4me3-1_56	10
PZ-MB-gastd6-TChIC-rep1-H3K4me3-2_56	Endoderm_node
PZ-MB-gastd6-TChIC-rep1-H3K4me3-3_56	Endoderm_node
PZ-MB-gastd7-TChIC-rep1-H3K4me3-2_56	3
