	NeuralTube_Somites_n	NeuralTube_Somites_p	NeuralTube_Somites_s
0	Miat	2.0871346123734333e-242	33.556866
1	Tubb3	2.7640804225501014e-236	33.1136
29195	Mdk	1.3736201901267796e-225	-32.34947
29194	Ncl	1.5278134019712114e-225	-32.337296
2	Map2	2.653921382269508e-225	32.31333
29193	Tuba1b	2.5018802492182333e-219	-31.879473
29192	Npm1	1.477152568546624e-216	-31.674023
3	Dcx	3.9407872709750484e-216	31.638842
4	Dpysl3	7.133427549921852e-214	31.47053
5	Srgap3	2.4895843880649678e-210	31.20713
6	Sox11	5.0478253845327117e-200	30.434832
7	Elavl4	1.4291424612769114e-198	30.322035
8	Dcc	2.0473467112901215e-193	29.925694
29191	Ccnd2	4.4212433131345555e-191	-29.743252
29190	Hspe1	4.0748092586990367e-188	-29.510784
9	Map1b	1.9288347369245384e-184	29.220749
29189	Hsp90ab1	1.4708681136725561e-183	-29.149147
29188	Gm10036	3.570457488987595e-182	-29.037687
29187	Eef1b2	8.433782264304322e-181	-28.926847
10	Mir124a-1hg	3.463286377852471e-178	28.716528
11	Sox4	1.496680439322817e-177	28.663877
29186	Prdx1	3.1138068691345657e-177	-28.636717
29185	Mcm5	3.207231613771793e-176	-28.553705
12	Crmp1	1.0883831659208587e-169	28.021275
29184	Mir703	1.4641847659769504e-169	-28.009245
13	Onecut2	1.4630308874720606e-167	27.843176
29183	Mcm7	6.790375625213925e-167	-27.786705
29182	Hnrnpd	8.746406798776274e-166	-27.693384
29181	Mcm3	1.027205695895986e-165	-27.68632
29180	Ptn	2.020273844936762e-165	-27.660686
29179	Rrm2	8.418320696659654e-162	-27.356903
29178	Pa2g4	1.5879111644514307e-160	-27.248306
14	Nfasc	3.19456314619825e-159	27.136942
15	Robo3	8.20790166114664e-159	27.101093
29177	Rack1	2.82373687369323e-158	-27.054457
16	Myo1b	1.0742784035295269e-157	27.00405
29176	Dut	1.1984886071673433e-157	-26.99899
17	Igfbpl1	9.01007217498297e-157	26.923283
29175	Sod1	1.2641808627829781e-154	-26.73831
29174	Hmga2	2.2015025752574526e-154	-26.716639
29173	Hmgn1	5.30693960928569e-152	-26.509901
29172	Ranbp1	3.0472291835185325e-151	-26.443071
29171	Nasp	4.679009069473828e-151	-26.425983
18	Tmsb4x	8.19149995923119e-150	26.31672
29170	Ptma	8.913333212031803e-150	-26.31266
29169	Eif5a	9.273867429230953e-150	-26.310322
29168	Pabpc1	2.283397575885772e-149	-26.275284
19	Nhlh1	2.726555119068663e-149	26.267742
29167	Banf1	1.1072723050890926e-145	-25.949162
29166	Psat1	5.191669125253249e-144	-25.799896
29165	Tubb4b	3.029008453618627e-143	-25.730776
20	Ina	7.225264080894623e-143	25.696264
21	Ptprs	1.6721056207075194e-142	25.662897
22	Celsr3	8.121440250595491e-139	25.329758
29164	Mcm6	3.454287646936297e-138	-25.271902
23	Nhlh2	1.2268398459961007e-136	25.12975
29163	Ccnd1	1.2301091169187554e-135	-25.037287
29162	Serbp1	1.4455407388520592e-134	-24.938143
24	Kif5c	1.1642572439170908e-133	24.853796
29161	Hnrnpc	6.359794640306912e-133	-24.784819
29160	Snrpb	1.695295106152436e-132	-24.744627
29159	Prtg	1.7789199043514902e-130	-24.555502
25	Tubb2b	2.185549993076654e-130	24.54648
26	Gdi1	8.918157500679613e-130	24.488577
29158	Mif	7.64025731247905e-129	-24.40022
29157	Dctpp1	1.415648797275243e-128	-24.37435
29156	Dek	1.8574089418975825e-128	-24.362606
29155	Impdh2	2.1819964022231583e-128	-24.355398
27	Robo1	8.474518357041869e-128	24.299118
29154	Pclaf	2.6176212374522902e-127	-24.252148
28	Myt1	2.06374190854174e-126	24.166416
29153	C1qbp	5.093967343888713e-124	-23.937195
29	Kif1b	1.8653741107406962e-120	23.59193
30	Dst	2.6280536539845464e-120	23.576847
29152	Hdgf	1.0335796419875351e-119	-23.518229
31	Gdf11	3.237261130348448e-119	23.469156
32	Stmn2	4.272758462515797e-119	23.456793
33	Srrm4	6.495133956358483e-119	23.438416
29151	Txn1	8.995353749848436e-119	-23.424
34	Elavl3	1.8286508688544188e-118	23.393211
29150	Lig1	9.195245882935989e-118	-23.323662
35	Tagln3	1.144156238914982e-117	23.313782
29149	Ran	8.032492612915466e-117	-23.229673
29148	Cdca8	1.0384264155898432e-116	-23.21812
29147	Bex1	1.9210280845293547e-116	-23.19115
36	Aff4	6.240096132899617e-116	23.139883
29146	Trim28	1.4500445464137057e-115	-23.102985
29145	Nap1l1	8.345678968726625e-115	-23.026752
29144	G3bp1	3.847272588833104e-114	-22.959925
29143	H2afv	5.912667416411789e-113	-22.84035
29142	Anp32b	8.758842914799333e-113	-22.822687
37	Scrt2	1.0441108083844778e-112	22.814524
29141	Mest	2.311915926625612e-112	-22.77925
38	Cep170	4.895658110473746e-112	22.745882
29140	Hspd1	9.587806491790687e-112	-22.715904
39	Cdkn1c	4.446885920140242e-111	22.64793
29139	Slc2a1	2.0421703397655003e-110	-22.580194
40	Kif21b	1.022026164261413e-109	22.50845
41	Kalrn	1.0944111259957337e-109	22.504965
29138	Mcm2	2.097264801488919e-109	-22.475657
29137	Gnai2	3.8513459352373964e-109	-22.44821
42	Sptan1	6.335471276711255e-109	22.42563
43	App	6.382560345055962e-109	22.424868
44	Nefl	2.4374350836117723e-108	22.364721
29136	H2afz	3.843871548286541e-108	-22.343956
29135	Paics	4.883922156527532e-108	-22.332834
29134	Col18a1	6.106585161911664e-108	-22.322428
29133	Nhp2	4.293504124977502e-107	-22.234644
45	Celf3	6.112941338199631e-107	22.218367
46	Syt11	3.255199128930599e-106	22.142708
29132	Tmpo	3.059750065953109e-105	-22.04108
47	Stxbp1	1.1188908658846629e-104	21.98189
48	Basp1	1.1578408003315836e-104	21.979933
29131	Hint1	1.4554236786895636e-104	-21.969145
49	Ebf3	5.2236680733913076e-104	21.910622
29130	Tubb5	1.1930847850525857e-103	-21.872578
50	Map4k4	7.580988443375097e-103	21.787657
29129	Ybx3	1.6227433771338976e-102	-21.752382
51	Dync1h1	1.9812723002182783e-102	21.742834
29128	Sox3	2.45442951151799e-102	-21.732618
29127	Kpnb1	3.4946515405691094e-102	-21.716007
29126	Hmgb2	3.9383335338475035e-102	-21.710136
29125	Mat2a	9.061928754002062e-102	-21.671423
52	Klf7	1.0922650535867595e-101	21.662449
53	Rgmb	1.180834918666365e-101	21.658487
54	Nav1	1.907861513569827e-101	21.636003
29124	Cct3	4.3604228994584835e-101	-21.597483
29123	Cks1b	6.786684295310019e-101	-21.57667
55	Dach1	1.8250878818899582e-100	21.53051
56	Mycbp2	1.1735436552648754e-99	21.44373
57	Hspa12a	7.160648253049006e-99	21.359049
29122	Eif2s2	2.6664363768427788e-98	-21.297184
29121	Uhrf1	5.547208855122391e-98	-21.262482
29120	Eef2	1.2707380936583717e-97	-21.223196
29119	Ccna2	5.187868013353052e-97	-21.156605
58	Cblb	6.362568677900941e-97	21.14663
29118	Vars	2.2099538120349344e-95	-20.978222
29117	Eef1g	2.825109564422199e-95	-20.966192
29116	Gas5	5.190288778174721e-95	-20.936884
59	Fzd3	5.283888228197503e-95	20.93569
29115	Dbi	6.409778416831689e-95	-20.926144
29114	Snrpg	3.8252133027216873e-94	-20.84046
29113	Siva1	6.122329641140419e-94	-20.817595
60	Kcnq1ot1	1.6905912029709078e-93	20.768522
29112	Eef1d	5.627959898477703e-93	-20.710335
61	Dpysl2	1.162913331039108e-92	20.67501
29111	Hnrnpa0	1.951727477540589e-90	-20.42598
29110	Eprs	2.0495916296659406e-90	-20.423258
29109	Dnajc9	2.6841645948146226e-90	-20.40975
62	Afap1	4.600814185753126e-90	20.383066
29108	Fau	6.237606645332657e-90	-20.367838
63	Rundc3a	1.4882714575210223e-89	20.324877
29107	Apex1	1.6696389491271357e-89	-20.31891
64	Crabp1	2.900150822774067e-89	20.291464
65	Kmt2c	4.772522942420617e-89	20.266642
29106	Srsf3	7.964091506141055e-89	-20.241102
29105	Ung	2.1268399698959797e-88	-20.192318
29104	Gapdh	6.656029545051515e-88	-20.135561
29103	Eif4a3	5.574099656392525e-87	-20.029686
66	Scrt1	6.0963969282134825e-87	20.024914
67	Pou2f2	1.1617985562661505e-86	19.992453
68	Hectd4	1.3900447005392556e-86	19.983192
29102	Eif1	1.5884724196226422e-86	-19.976223
69	Asic1	2.8139281711300116e-86	19.947344
29101	Rcc2	5.520817788699834e-86	-19.91331
29100	Gas1	6.916991200209934e-86	-19.90171
29099	Eif4ebp1	6.99445333632318e-86	-19.90085
29098	Ybx1	1.98688352417676e-85	-19.848152
29097	Gins2	3.1448929919446114e-85	-19.824762
29096	Magoh	5.196936489349181e-85	-19.799175
29095	Lbr	5.949797650164849e-85	-19.792063
29094	Lsm6	7.828633374410994e-85	-19.777935
29093	Cdt1	8.499479390147511e-85	-19.773495
29092	Cenpa	9.123765573272826e-85	-19.769629
29091	Atp5b	1.763167972112487e-84	-19.73607
70	Ttc3	4.133092521694768e-84	19.69268
71	Prox1	4.267617621322366e-84	19.690771
72	Tmeff1	5.477854546406905e-84	19.677835
29090	Cdca3	7.170667778634015e-84	-19.663897
29089	Fbl	1.0349216326756548e-83	-19.644993
29088	Prdx6	1.3091695151475038e-83	-19.632772
73	Nova2	1.4752502250706437e-83	19.626425
29087	Hnrnpl	3.033356725369204e-83	-19.589478
29086	Crabp2	5.828359518023921e-83	-19.55592
29085	Lsm4	1.339645423832558e-82	-19.51315
29084	Nucks1	4.262276957612068e-82	-19.453625
74	Cers6	6.834710903400391e-81	19.310564
29083	Ssrp1	8.133089697319044e-81	-19.301304
29082	Naa50	1.9473685417493747e-80	-19.255861
29081	Snrpe	2.6036917403935173e-80	-19.240538
75	Gng2	4.824442707220425e-80	19.20827
29080	Tead2	8.366846265318834e-80	-19.17939
76	Plekha6	2.6634035325367365e-79	19.118814
77	Trp53i11	2.6936806182449103e-79	19.117956
29079	Bex3	4.179633731656462e-79	-19.094757
29078	Ccne1	9.371184049657984e-79	-19.052273
78	Spag9	1.6766312428734754e-78	19.021532
29077	Psmb3	2.2689931595036395e-78	-19.005398
29076	Pcna	6.267520366028237e-78	-18.951744
29075	Ipo5	7.787766240927734e-78	-18.940048
79	Celsr2	8.197026923704067e-78	18.937088
29074	Rpa2	8.573368230908538e-78	-18.934464
